title,year,rating
Better Call Saul ,2015,8.9
The Sandman ,2022,7.8
She-Hulk: Attorney at Law ,2022,5.4
Wednesday ,2022,
House of the Dragon ,2022,9.0
Stranger Things ,2016,8.7
Never Have I Ever ,2020,7.9
Breaking Bad ,2008,9.5
A League of Their Own ,2022,6.8
Westworld ,2016,8.5
Game of Thrones ,2011,9.2
The Boys ,2019,8.7
Locke & Key ,2020,7.4
Black Bird ,2022,8.2
Only Murders in the Building ,2021,8.1
The Orville ,2017,8.0
The Lord of the Rings: The Rings of Power ,2022,
The Walking Dead ,2010,8.1
The Bear ,2022,8.5
Severance ,2022,8.7
Peaky Blinders ,2013,8.8
The Terminal List ,2022,8.0
For All Mankind ,2019,7.9
Yellowstone ,2018,8.7
I Am Groot ,2022,6.8
Grey's Anatomy ,2005,7.6
The Office ,2005,9.0
Virgin River ,2019,7.4
The Rehearsal ,2022,9.0
The Old Man ,2022,7.8
Five Days at Memorial ,2022,8.2
Tales of the Walking Dead ,2022,6.3
Supernatural ,2005,8.4
The Sopranos ,1999,9.2
The Umbrella Academy ,2019,7.9
Pretty Little Liars: Original Sin ,2022,7.0
Echoes ,2022,5.7
Ted Lasso ,2020,8.8
What We Do in the Shadows ,2019,8.6
Manifest ,2018,7.1
American Horror Stories ,2021,6.1
Uncoupled ,2022,7.0
This Fool ,2022,7.8
Shameless ,2011,8.6
Succession ,2018,8.8
Brooklyn Nine-Nine ,2013,8.4
Animal Kingdom ,2016,8.2
Friends ,1994,8.9
NCIS ,2003,7.8
Law & Order: Special Victims Unit ,1999,8.1
Under the Banner of Heaven ,2022,7.5
American Horror Story ,2011,8.0
Euphoria ,2019,8.4
The Resort ,2022,7.3
Criminal Minds ,2005,8.1
The Big Bang Theory ,2007,8.2
Evil ,2019,7.7
Ozark ,2017,8.5
Extraordinary Attorney Woo ,2022,9.0
Modern Family ,2009,8.5
Cobra Kai ,2018,8.5
Lucifer ,2016,8.1
Harley Quinn ,2019,8.5
Marriage ,2022,5.9
Reservation Dogs ,2021,8.0
Rick and Morty ,2013,9.2
Resident Alien ,2021,8.1
Riverdale ,2017,6.6
Vikings ,2013,8.5
Seinfeld ,1989,8.9
Doctor Who ,2005,8.6
The Blacklist ,2013,8.0
Lost ,2004,8.3
The Wire ,2002,9.3
Sex Education ,2019,8.4
Black Mirror ,2011,8.8
The Last Kingdom ,2015,8.5
It's Always Sunny in Philadelphia ,2005,8.8
Suits ,2011,8.5
Breathe ,2022,5.2
Bad Sisters ,2022,7.7
Obi-Wan Kenobi ,2022,7.1
Attack on Titan ,2013,9.0
True Detective ,2014,8.9
Ms. Marvel ,2022,6.2
Paper Girls ,2022,7.2
Bones ,2005,7.8
The Offer ,2022,8.7
Outlander ,2014,8.4
The Handmaid's Tale ,2017,8.4
1883 ,2021,8.8
Fargo ,2014,8.9
House ,2004,8.7
Star Trek: Strange New Worlds ,2022,8.2
The Vampire Diaries ,2009,7.7
The X-Files ,1993,8.6
One Piece ,1999,8.9
ER ,1994,7.8
The Witcher ,2019,8.2
Daredevil ,2015,8.6
